timestamp,pod,cpu,memory
2026-08-11T19:09:41+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,99m,13Mi
2026-08-11T19:09:41+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,45m,10Mi
2026-08-11T19:09:41+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,184m,17Mi
2026-08-11T19:09:41+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,142m,13Mi
2026-08-11T19:09:41+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T19:09:41+08:00,mongodb-0,291m,94Mi
2026-08-11T19:09:41+08:00,open5glos-7bb755b95f-bstb4,36m,8Mi
2026-08-11T19:09:43+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,31m,0Mi
2026-08-11T19:09:43+08:00,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,208m,54Mi
2026-08-11T19:09:43+08:00,free5gc-free5gc-ausf-ausf-b5f58bf87-5wdc2,112m,21Mi
2026-08-11T19:09:43+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T19:09:43+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,41m,7Mi
2026-08-11T19:09:43+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,122m,13Mi
2026-08-11T19:09:43+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,43m,7Mi
2026-08-11T19:09:43+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,99m,13Mi
2026-08-11T19:09:43+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,45m,10Mi
2026-08-11T19:09:43+08:00,free5gc-free5gc-udm-udm-7fbb989b5c-96rtv,184m,17Mi
2026-08-11T19:09:43+08:00,free5gc-free5gc-udr-udr-788647bbb4-jbz5f,142m,13Mi
2026-08-11T19:09:43+08:00,free5gc-free5gc-webui-webui-6785478d49-lwtrb,2m,12Mi
2026-08-11T19:09:43+08:00,mongodb-0,291m,94Mi
2026-08-11T19:09:43+08:00,open5glos-7bb755b95f-bstb4,36m,8Mi
2026-08-11T19:09:45+08:00,dbpython-free5gc-dbpython-dbpython-7fb488c7fc-8vt7q,31m,0Mi
2026-08-11T19:09:45+08:00,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,208m,54Mi
2026-08-11T19:09:45+08:00,free5gc-free5gc-ausf-ausf-b5f58bf87-5wdc2,112m,21Mi
2026-08-11T19:09:45+08:00,free5gc-free5gc-chf-chf-6f777c7ff8-8mxhq,39m,12Mi
2026-08-11T19:09:45+08:00,free5gc-free5gc-nef-nef-759f694c89-jh7pd,41m,7Mi
2026-08-11T19:09:45+08:00,free5gc-free5gc-nrf-nrf-5766464855-bm2nv,122m,13Mi
2026-08-11T19:09:45+08:00,free5gc-free5gc-nssf-nssf-7f7767dd45-tvbcj,43m,7Mi
2026-08-11T19:09:45+08:00,free5gc-free5gc-pcf-pcf-769b57775d-crzp7,99m,13Mi
2026-08-11T19:09:45+08:00,free5gc-free5gc-smf-smf-7d94c978bf-bzj5s,45m,10Mi
